dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,feature_set,n_features,accuracy,balanced_accuracy,auroc,auprc_error,mcc,precision_error,recall_error,f1_error
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,majority baseline,0,0.9648684210526316,0.5,0.5,0.03513157894736842,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,confidence,3,0.8984210526315789,0.8896180674198164,0.9480466681069772,0.32799110552613986,0.4290128568622437,0.24102564102564103,0.8801498127340824,0.3784219001610306
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,explanation,19,0.8760526315789474,0.8744176829283865,0.9461282969450602,0.36434327350619533,0.3859733823295203,0.2042068361086766,0.8726591760299626,0.3309659090909091
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,confidence+explanation,22,0.885,0.8880766286108,0.9478112130735259,0.3313213979174142,0.4087952762589975,0.21975992613111728,0.8913857677902621,0.35259259259259257
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,paper (4 dimensions),20,0.8771052631578947,0.8767676365268902,0.9462130811870405,0.3637471564995434,0.38924035887339564,0.20616740088105726,0.8764044943820225,0.3338088445078459
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,majority baseline,0,0.9244736842105263,0.5,0.5,0.07552631578947368,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,confidence,3,0.8632894736842105,0.766877084715705,0.8453759604693766,0.32158996580418747,0.3848422186291538,0.30864197530864196,0.6533101045296167,0.41922861934041367
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,explanation,19,0.8089473684210526,0.763083559224027,0.829228371276027,0.33485007303299374,0.33420527520821136,0.24054373522458627,0.7090592334494773,0.3592233009708738
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,confidence+explanation,22,0.8277631578947369,0.7748598783413722,0.8366755733557092,0.3187973896943708,0.3602430843645287,0.2633612363168062,0.7125435540069687,0.384579219558063
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,paper (4 dimensions),20,0.8098684210526316,0.7635817089536029,0.8290828193142246,0.33283686818688063,0.3353342837901501,0.24154302670623146,0.7090592334494773,0.36033643204957944
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,majority baseline,0,0.9653947368421053,0.5,0.5,0.034605263157894736,0.0,0.0,0.0,0.0
