dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,auroc_confidence,auroc_explanation,auroc_confidence_plus_explanation,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,bootstrap_reps
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,0.9739749876155133,0.9748782707167979,0.9753907650237373,0.001565413572846433,-0.0037914028813458064,0.007756417002455622,1000
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,0.819883107654025,0.8371027907948272,0.843360056124673,0.024017801771256297,0.005230263897685425,0.043128413058398665,1000
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,0.9815873494873629,0.9832722341440153,0.9828680108488316,0.0012789508368746575,-0.0012155798175678134,0.003825667660887243,1000
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,0.8154472146533989,0.8614182702193333,0.8614311949889492,0.04620074750022955,0.030991369395034284,0.06164365594907012,1000
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,0.9723462255602495,0.9721836346020182,0.9733921323091054,0.0010399629407306637,-0.003934011539264073,0.005564988328592751,1000
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,0.8274137202161117,0.8532221649269021,0.853374887925708,0.026028688973684082,0.012045523153184223,0.03959923337805857,1000
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,0.9760802833995336,0.9829958309690436,0.9830785811109009,0.007042900200221462,0.0036175810957221636,0.010356681335522713,1000
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,0.8208788490845151,0.8508361150962485,0.8510340990671842,0.030435728437837203,0.015599361532291,0.04595157930527877,1000
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,0.9739749876155133,0.9615752876956677,0.9628665071183462,-0.011205559491714851,-0.03450290651377617,0.00534936705536447,1000
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,0.819883107654025,0.8237050684757337,0.8303525614828539,0.010776103921733738,-0.006401168691054932,0.029187119562892903,1000
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,0.9815873494873629,0.9818453445398188,0.9815072499403911,-2.3243729130988822e-05,-0.0023684629602344714,0.0023677603349671387,1000
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,0.8154475083981629,0.8534472123034408,0.8535429730965046,0.03828963065885709,0.02174592482026625,0.053851781480427525,1000
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,0.9723462255602495,0.9732922957558054,0.9735442641998481,0.0011327172627664367,-0.005988722122247578,0.006818425878840972,1000
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,0.8274134298682052,0.8466515918033625,0.8471149870620973,0.019702996441882434,0.0065482931524960455,0.03345586083313593,1000
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,0.9760802833995336,0.9803941271042179,0.9799321054788475,0.0039271561523179545,0.0009587056776500791,0.007057325583829146,1000
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,0.8208788490845151,0.8456441763925558,0.8454194616480961,0.02485200607545629,0.010177788018997574,0.04146476931454109,1000
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,0.8868036687564534,0.862640231177997,0.8852889680289742,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,1000
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,0.8868036687564534,0.862640231177997,0.8852889680289742,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,1000
stanfordnlp_sst2,graphsvx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,0.9062604062604062,0.8840326340326341,0.884115884115884,-0.022329883564277956,-0.04379237790020848,-0.0023146640839030175,1000
stanfordnlp_sst2,graphsvx,constituency,gold_label,872,78,0.08944954128440363,0.9174311926605505,0.8292966479364464,0.823887489504618,0.8291674740037461,0.00046964757756521035,-0.02809061488871361,0.032852405344181546,1000
stanfordnlp_sst2,graphsvx,skipgrams,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,0.9031103971962616,0.9469918224299065,0.9415887850467289,0.04004267342548984,-0.020161415791520816,0.15513527258402027,1000
stanfordnlp_sst2,graphsvx,skipgrams,gold_label,872,78,0.08944954128440363,0.9174311926605505,0.8458470580636829,0.8099205580313892,0.8275043596202286,-0.01818950144452586,-0.05270869209862097,0.012978371942362371,1000
stanfordnlp_sst2,graphsvx,syntactic,teacher_agreement,872,24,0.02752293577981646,0.9174311926605505,0.94624606918239,0.9022209119496855,0.9137676886792453,-0.03288886275745291,-0.0818064206193898,-0.0012294061207104676,1000
stanfordnlp_sst2,graphsvx,syntactic,gold_label,872,84,0.09633027522935778,0.9174311926605505,0.8497099347353153,0.8177121102248006,0.8308556925308195,-0.019110382390096856,-0.04399258404844564,0.005778966632643636,1000
stanfordnlp_sst2,graphsvx,window,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,0.907491238317757,0.8868282710280374,0.8815712616822429,-0.029505682312306845,-0.19043999148678423,0.06206676923967842,1000
stanfordnlp_sst2,graphsvx,window,gold_label,872,76,0.08715596330275233,0.9174311926605505,0.8327492726791854,0.7992594551705898,0.8008959270034383,-0.03204327968846934,-0.0814212295712818,0.007031053987455207,1000
stanfordnlp_sst2,subgraphx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,0.9062604062604062,0.9428904428904428,0.9387279387279388,0.03341699003819117,-0.03386294815891469,0.1438015881272718,1000
stanfordnlp_sst2,subgraphx,constituency,gold_label,872,78,0.08944954128440363,0.9174311926605505,0.8292966479364464,0.8049958018471872,0.8135374281469999,-0.015528927005118105,-0.043280879829021554,0.007477020896182318,1000
stanfordnlp_sst2,subgraphx,skipgrams,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,0.9031103971962616,0.9621057242990654,0.9586740654205608,0.056848635831697074,-0.017837272470488056,0.1912009438648783,1000
stanfordnlp_sst2,subgraphx,skipgrams,gold_label,872,78,0.08944954128440363,0.9174311926605505,0.8458470580636829,0.7943712458825808,0.8158948524187819,-0.02943837911338185,-0.0671787931471268,0.0036280705781455997,1000
stanfordnlp_sst2,subgraphx,syntactic,teacher_agreement,872,24,0.02752293577981646,0.9174311926605505,0.94624606918239,0.9004520440251572,0.9247739779874213,-0.02222279109460758,-0.054605153180988825,0.005641700379582508,1000
stanfordnlp_sst2,subgraphx,syntactic,gold_label,872,84,0.09633027522935778,0.9174311926605505,0.8497099347353153,0.8195703408266861,0.8350707034082668,-0.015283069445221273,-0.048307840428202145,0.01876227113828273,1000
stanfordnlp_sst2,subgraphx,window,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,0.907491238317757,0.9075642523364487,0.8982914719626168,-0.009807440637579172,-0.03517193729336834,0.011283109735122036,1000
stanfordnlp_sst2,subgraphx,window,gold_label,872,76,0.08715596330275233,0.9174311926605505,0.8327492726791854,0.7983172441153135,0.8082187252049723,-0.024817547145451323,-0.05474481072653918,-6.76447866820676e-05,1000
stanfordnlp_sst2,token_shap_llm,tokens,teacher_agreement,872,73,0.08371559633027525,1.0,0.8348963601762478,0.8132940147787474,0.833867677062081,-0.0005907939746161934,-0.02729626470217874,0.028182840608362958,1000
stanfordnlp_sst2,token_shap_llm,tokens,gold_label,872,73,0.08371559633027525,1.0,0.8348963601762478,0.8132940147787474,0.833867677062081,-0.0005907939746161934,-0.02729626470217874,0.028182840608362958,1000
